Entity,Code,Year,Number of severely food insecure people (million) (3-year average) | 00210071 || Value | 006132 || millions
Uzbekistan,UZB,2016,0.699999988079071
Uzbekistan,UZB,2017,0.699999988079071
Uzbekistan,UZB,2018,0.8999999761581421
Uzbekistan,UZB,2019,1.2999999523162842
Vanuatu,VUT,2018,0.050000000745058
Vanuatu,VUT,2019,0.050000000745058
Vietnam,VNM,2017,0.4000000059604645
Vietnam,VNM,2018,0.4000000059604645
Vietnam,VNM,2019,0.5
Western Africa (FAO),,2015,38.09999847412109
Western Africa (FAO),,2016,47.20000076293945
Western Africa (FAO),,2017,55.900001525878906
Western Africa (FAO),,2018,65.9000015258789
Western Africa (FAO),,2019,85.5
Western Asia (FAO),,2015,21.799999237060547
Western Asia (FAO),,2016,23.5
Western Asia (FAO),,2017,24.399999618530277
Western Asia (FAO),,2018,24.899999618530277
Western Asia (FAO),,2019,24.700000762939453
Western Europe (FAO),,2015,2.400000095367432
Western Europe (FAO),,2016,2.0999999046325684
Western Europe (FAO),,2017,1.7000000476837158
Western Europe (FAO),,2018,1.600000023841858
Western Europe (FAO),,2019,1.5
World,OWID_WRL,2015,607.7000122070312
World,OWID_WRL,2016,625.0999755859375
World,OWID_WRL,2017,669.4000244140625
World,OWID_WRL,2018,722.7000122070312
World,OWID_WRL,2019,813.0
Zambia,ZMB,2015,3.5
Zambia,ZMB,2016,3.5999999046325684
Zambia,ZMB,2017,3.799999952316284
Zambia,ZMB,2018,4.0
Zambia,ZMB,2019,4.099999904632568
Zimbabwe,ZWE,2015,4.900000095367432
Zimbabwe,ZWE,2016,5.199999809265137
Zimbabwe,ZWE,2017,5.099999904632568
Zimbabwe,ZWE,2018,4.900000095367432
Zimbabwe,ZWE,2019,4.699999809265137
